idJuego,genero
1,FPS
2,FPS
3,FPS
4,FPS
5,FPS
6,FPS
7,Estrategia
8,RPG
8,Mundo Abierto
9,RPG
9,Mundo Abierto
10,RPG
11,RPG
12,RPG
12,Mundo Abierto
13,RPG
13,Mundo Abierto
14,RPG
14,Mundo Abierto
15,FPS
16,FPS
17,Indie
17,Supervivencia
18,Indie
19,Supervivencia
19,Mundo Abierto
20,Estrategia
21,Estrategia
22,Estrategia
23,Estrategia
24,Estrategia
25,Indie
26,Indie
27,Indie
28,Indie
29,Estrategia
29,Indie
30,Indie
31,Supervivencia
32,Indie
32,Mundo Abierto
33,Supervivencia
33,Mundo Abierto
34,Supervivencia
35,Mundo Abierto
36,Mundo Abierto
37,RPG
38,RPG
39,RPG
39,Mundo Abierto
40,FPS
41,FPS
42,FPS
43,FPS
44,Estrategia
45,RPG
46,Indie
47,Indie
48,FPS
49,FPS
50,FPS
